Dimensions,additional_images,attrib__bulb_type,attrib__color,attrib__designer,attrib__finish,attrib__material,attrib__number_bulbs,attrib__shade,attrib__switch_type,attrib__wattage,attrib__cord_length,cost_price,height,length,manufacturer,manufacturer_sku,min_price,preferred_shipment_type,product__collection,product__country_of_origin,product__description,lifestyle_images,product__sites,product__title,prop_65,shipment_boxes,width
"32""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RZ-63713.jpeg,,,,,,1,Soft Glow Linen,Switch located on socket,,, 658.00,"32,",,Bradburn Home,RZ-63713, 658.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RZ-63713_100x.jpeg,www.bradburnhome.com,Emerald Cove,True,{},
"31""h","https://cdn.shopify.com/s/files/1/0932/6774/products/RZ_63383_001.jpg,https://cdn.shopify.com/s/files/1/0932/6774/products/RZ_63383_002.jpg,https://cdn.shopify.com/s/files/1/0932/6774/products/RZ_63383_003.jpg,https://cdn.shopify.com/s/files/1/0932/6774/products/RZ_63383_005.jpg",,,,,,1,Soft Glow Linen,Switch located on socket,,, 658.00,"31,",,Bradburn Home,RZ-63383, 658.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RZ_63383_001_100x.jpg,www.bradburnhome.com,Atlantis Cove,True,{},
"31""h","https://cdn.shopify.com/s/files/1/0932/6774/products/RZ_63382_001.jpg,https://cdn.shopify.com/s/files/1/0932/6774/products/RZ_63382_005.jpg,https://cdn.shopify.com/s/files/1/0932/6774/products/RZ_63382_003.jpg",,,,,,1,Soft Glow Linen,Switch located on socket,,, 658.00,"31,",,Bradburn Home,RZ-63382, 658.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RZ_63382_001_100x.jpg,www.bradburnhome.com,Cabrillo,True,{},
"31""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RY-64191-C.jpeg,,,,,,1,Shantung Silk,Switch located on socket,,, 658.00,"31,",,Bradburn Home,RY-64191-C, 658.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RY-64191-C_100x.jpeg,www.bradburnhome.com,Amelie Verde Couture,True,{},
"28""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RY-64191.jpeg,,,,,,1,,Switch located on socket,,, 518.00,"28,",,Bradburn Home,RY-64191, 518.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RY-64191_100x.jpeg,www.bradburnhome.com,Amelie Verde,True,{},
"31""h","https://cdn.shopify.com/s/files/1/0932/6774/products/ca709a269834736a8dff9991778ee8c9.jpg,https://cdn.shopify.com/s/files/1/0932/6774/products/8a011d09cf59e6bb7be7268f8a379b15.jpg,https://cdn.shopify.com/s/files/1/0932/6774/products/65066f9e3eb083677759ab175d85b839.jpg",,,,,,1,Shantung Silk,Switch located on socket,,, 658.00,"31,",,Bradburn Home,RY-64190-C, 658.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/ca709a269834736a8dff9991778ee8c9_100x.jpg,www.bradburnhome.com,Amelie Blanc Couture,True,{},
"29""h","https://cdn.shopify.com/s/files/1/0932/6774/products/c4ff0e3cfb75788eca2be4db894721e7.jpg,https://cdn.shopify.com/s/files/1/0932/6774/products/846aeff0ffa8a3ef762ff30875d953e8.jpg,https://cdn.shopify.com/s/files/1/0932/6774/products/f57f8c644eb5ecb3d675131fa8f56781.jpg,https://cdn.shopify.com/s/files/1/0932/6774/products/55d9512aef383ed7580898896b38b439.jpg,https://cdn.shopify.com/s/files/1/0932/6774/products/0c80e6eb136d572600e02f7d3fd5d9b7.jpg,https://cdn.shopify.com/s/files/1/0932/6774/products/65066f9e3eb083677759ab175d85b839_026c8294-faad-4c1d-a315-134f2aed84c8.jpg,https://cdn.shopify.com/s/files/1/0932/6774/products/563a4ba3abf08771771d085f0dfa264e.jpg",,,,,,1,,Switch located on socket,,, 518.00,"29,",,Bradburn Home,RY-64190, 518.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/c4ff0e3cfb75788eca2be4db894721e7_100x.jpg,www.bradburnhome.com,Amelie Blanc,True,{},
"30""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RY-64065-C.jpg,,,,,,1,Shantung Silk,Switch located on socket,,, 758.00,"30,",,Bradburn Home,RY-64065-C, 758.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RY-64065-C_100x.jpg,www.bradburnhome.com,Juliette Verte,True,{},
"29""h","https://cdn.shopify.com/s/files/1/0932/6774/products/RY-64065.jpg,https://cdn.shopify.com/s/files/1/0932/6774/products/RY-64065JulietteVerte.jpg",,,,,,1,,Switch located on socket,,, 638.00,"29,",,Bradburn Home,RY-64065, 638.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RY-64065_100x.jpg,www.bradburnhome.com,Juliette Verte,True,{},
"30""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RY-64064-C.jpeg,,,,,,,,,,, 478.00,"30,",,Bradburn Home,RY-64064-C, 478.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RY-64064-C_100x.jpeg,www.bradburnhome.com,Juliette Bleu,True,{},
"29""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RY-64064.jpeg,,,,,,,,,,, 478.00,"29,",,Bradburn Home,RY-64064, 478.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RY-64064_100x.jpeg,www.bradburnhome.com,Juliette Bleu,True,{},
"30""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RY-64063-C.jpeg,,,,,,1,Shantung Silk,Switch located on socket,,, 758.00,"30,",,Bradburn Home,RY-64063-C, 758.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RY-64063-C_100x.jpeg,www.bradburnhome.com,Juliette Gray,True,{},
"29""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RY-64063.jpeg,,,,,,1,,Switch located on socket,,, 638.00,"29,",,Bradburn Home,RY-64063, 638.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RY-64063_100x.jpeg,www.bradburnhome.com,Juliette Gray,True,{},
"30""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RY-64062-C.jpeg,,,,,,1,Shantung Silk,Switch located on socket,,, 758.00,"30,",,Bradburn Home,RY-64062-C, 758.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RY-64062-C_100x.jpeg,www.bradburnhome.com,Juliette Celadon,True,{},
"29""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RY-64062.jpeg,,,,,,1,,Switch located on socket,,, 638.00,"29,",,Bradburn Home,RY-64062, 638.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RY-64062_100x.jpeg,www.bradburnhome.com,Juliette Celadon,True,{},
"30""h","https://cdn.shopify.com/s/files/1/0932/6774/products/RY-63993-C.jpg,https://cdn.shopify.com/s/files/1/0932/6774/products/JulietteRoseCoutour_RY-63993-C.jpg,https://cdn.shopify.com/s/files/1/0932/6774/products/RY-64705-C_04_d5783b58-2094-4174-9615-798ba42c72be.jpg",,,,,,1,Shantung Silk,Switch located on socket,,, 758.00,"30,",,Bradburn Home,RY-63993-C, 758.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RY-63993-C_100x.jpg,www.bradburnhome.com,Juliette Rose,True,{},
"30""h","https://cdn.shopify.com/s/files/1/0932/6774/products/RY-63993.jpeg,https://cdn.shopify.com/s/files/1/0932/6774/products/JulietteROSE_RY-63993front.jpg,https://cdn.shopify.com/s/files/1/0932/6774/products/RY-64705_04_5053cb31-a90d-4093-a8f9-1d5290c97cdc.jpg",,,,,,1,,Switch located on socket,,, 638.00,"30,",,Bradburn Home,RY-63993, 638.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RY-63993_100x.jpeg,www.bradburnhome.com,Juliette Rose,True,{},
"28""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RJ-63811.jpeg,,,,,,,,,,, 378.00,"28,",,Bradburn Home,RJ-63811, 378.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RJ-63811_100x.jpeg,www.bradburnhome.com,Harper,True,{},
"31""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RJ-63808.jpeg,,,,,,,,,,, 458.00,"31,",,Bradburn Home,RJ-63808, 458.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RJ-63808_100x.jpeg,www.bradburnhome.com,RJ-63808,True,{},
"31""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RJ-63807.jpeg,,,,,,,,,,, 458.00,"31,",,Bradburn Home,RJ-63807, 458.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RJ-63807_100x.jpeg,www.bradburnhome.com,Annabella,True,{},
"31""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RJ-63806.jpeg,,,,,,,,,,, 478.00,"31,",,Bradburn Home,RJ-63806, 478.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RJ-63806_100x.jpeg,www.bradburnhome.com,RJ-63806,True,{},
"31""h",https://cdn.shopify.com/s/files/1/0932/6774/products/RJ-63714.jpeg,,,,,,,,,,, 458.00,"31,",,Bradburn Home,RJ-63714, 458.00,,,,,cdn.shopify.com/s/files/1/0932/6774/products/RJ-63714_100x.jpeg,www.bradburnhome.com,RJ-63714,True,{},
